code,used,used_at
JURGEN-9781,no,
JURGEN-6125,no,
JURGEN-2044,no,
JURGEN-2919,no,
JURGEN-6663,no,
JURGEN-7224,no,
JURGEN-6133,no,
JURGEN-8046,no,
JURGEN-8674,no,
JURGEN-6695,no,
JURGEN-4021,no,
JURGEN-1533,no,
JURGEN-3735,no,
JURGEN-6118,no,
JURGEN-9203,no,
JURGEN-3989,no,
JURGEN-0333,no,
JURGEN-4567,no,
JURGEN-9875,no,
JURGEN-9770,no,
JURGEN-9887,no,
JURGEN-7499,no,
JURGEN-5779,no,
JURGEN-1843,no,
JURGEN-6764,no,
JURGEN-2260,no,
JURGEN-7305,no,
JURGEN-3714,no,
JURGEN-4972,no,
JURGEN-6458,no,
JURGEN-1618,no,
JURGEN-1379,no,
JURGEN-4435,no,
JURGEN-5247,no,
JURGEN-1616,no,
JURGEN-1769,no,
JURGEN-9881,no,
JURGEN-5252,no,
JURGEN-2127,no,
JURGEN-5390,no,
JURGEN-4047,no,
JURGEN-2824,no,
JURGEN-3042,no,
JURGEN-5394,no,
JURGEN-7445,no,
JURGEN-9139,no,
JURGEN-4631,no,
JURGEN-7419,no,
JURGEN-2581,no,
JURGEN-7440,no,
JURGEN-0136,no,
JURGEN-1008,no,
JURGEN-1273,no,
JURGEN-6993,no,
JURGEN-9553,no,
JURGEN-2687,no,
JURGEN-8045,no,
JURGEN-4905,no,
JURGEN-4044,no,
JURGEN-0838,no,
JURGEN-0352,no,
JURGEN-9032,no,
JURGEN-7169,no,
JURGEN-8865,no,
JURGEN-8652,no,
JURGEN-6179,no,
JURGEN-7951,no,
JURGEN-8578,no,
JURGEN-3395,no,
JURGEN-9281,no,
JURGEN-4773,no,
JURGEN-6014,no,
JURGEN-5053,no,
JURGEN-6159,no,
JURGEN-3691,no,
JURGEN-4990,no,
JURGEN-9796,no,
JURGEN-5298,no,
JURGEN-1032,no,
JURGEN-5260,no,
JURGEN-4775,no,
JURGEN-5187,no,
JURGEN-1112,no,
JURGEN-0231,no,
JURGEN-6851,no,
JURGEN-9334,no,
JURGEN-3135,no,
JURGEN-7812,no,
JURGEN-0814,no,
JURGEN-9538,no,
JURGEN-6034,no,
JURGEN-5853,no,
JURGEN-2880,no,
JURGEN-4170,no,
JURGEN-3767,no,
JURGEN-5345,no,
JURGEN-7650,no,
JURGEN-4659,no,
JURGEN-8729,no,
JURGEN-6025,no,
JURGEN-9711,no,
JURGEN-3505,no,
JURGEN-1901,no,
JURGEN-2191,no,
JURGEN-8109,no,
JURGEN-2849,no,
JURGEN-0720,no,
JURGEN-9212,no,
JURGEN-4014,no,
JURGEN-7808,no,
JURGEN-4328,no,
JURGEN-9720,no,
JURGEN-3211,no,
JURGEN-0920,no,
JURGEN-9437,no,
JURGEN-9813,no,
JURGEN-8799,no,
JURGEN-2454,no,
JURGEN-3408,no,
JURGEN-8351,no,
JURGEN-0635,no,
JURGEN-6621,no,
JURGEN-6783,no,
JURGEN-6743,no,
JURGEN-3463,no,
JURGEN-9749,no,
JURGEN-4402,no,
JURGEN-4166,no,
JURGEN-3527,no,
JURGEN-0918,no,
JURGEN-6550,no,
JURGEN-8861,no,
JURGEN-6153,no,
JURGEN-3577,no,
JURGEN-8959,no,
JURGEN-4298,no,
JURGEN-1911,no,
JURGEN-3261,no,
JURGEN-8152,no,
JURGEN-0110,no,
JURGEN-6326,no,
JURGEN-2010,no,
JURGEN-0665,no,
JURGEN-2884,no,
JURGEN-0705,no,
JURGEN-0965,no,
JURGEN-4155,no,
JURGEN-1697,no,
JURGEN-7451,no,
JURGEN-6838,no,
JURGEN-2788,no,
JURGEN-5083,no,
JURGEN-8272,no,
JURGEN-1351,no,
JURGEN-7974,no,
JURGEN-3444,no,
JURGEN-6614,no,
JURGEN-8730,no,
JURGEN-4510,no,
JURGEN-9510,no,
JURGEN-8613,no,
JURGEN-5348,no,
JURGEN-1585,no,
JURGEN-8666,no,
JURGEN-3606,no,
JURGEN-2529,no,
JURGEN-0162,no,
JURGEN-9808,no,
JURGEN-6445,no,
JURGEN-9719,no,
JURGEN-6593,no,
JURGEN-0645,no,
JURGEN-5716,no,
JURGEN-5450,no,
JURGEN-9507,no,
JURGEN-9093,no,
JURGEN-6089,no,
JURGEN-5528,no,
JURGEN-0776,no,
JURGEN-9384,no,
JURGEN-4606,no,
JURGEN-7065,no,
JURGEN-4661,no,
JURGEN-3846,no,
JURGEN-6889,no,
JURGEN-1920,no,
JURGEN-5811,no,
JURGEN-8393,no,
JURGEN-3021,no,
JURGEN-5744,no,
JURGEN-2575,no,
JURGEN-9954,no,
JURGEN-6184,no,
JURGEN-7585,no,
JURGEN-4495,no,
JURGEN-8106,no,
JURGEN-0227,no,
JURGEN-3958,no,
JURGEN-5174,no,
JURGEN-5826,no,
JURGEN-5315,no,
JURGEN-0734,no,
JURGEN-4779,no,
JURGEN-6938,no,
JURGEN-9106,no,
JURGEN-3077,no,
JURGEN-4274,no,
JURGEN-9025,no,
JURGEN-2389,no,
JURGEN-4071,no,
JURGEN-2638,no,
JURGEN-4349,no,
JURGEN-6933,no,
JURGEN-7959,no,
JURGEN-9947,no,
JURGEN-4075,no,
JURGEN-4793,no,
JURGEN-2953,no,
JURGEN-9117,no,
JURGEN-2272,no,
JURGEN-2222,no,
JURGEN-2805,no,
JURGEN-3105,no,
JURGEN-1989,no,
JURGEN-5944,no,
JURGEN-9489,no,
JURGEN-6929,no,
JURGEN-3184,no,
JURGEN-3564,no,
JURGEN-4783,no,
JURGEN-7371,no,
JURGEN-5809,no,
JURGEN-5622,no,
JURGEN-8930,no,
JURGEN-4850,no,
JURGEN-9692,no,
JURGEN-0453,no,
JURGEN-1221,no,
JURGEN-9391,no,
JURGEN-9994,no,
JURGEN-8529,no,
JURGEN-9045,no,
JURGEN-8308,no,
JURGEN-5787,no,
JURGEN-6117,no,
JURGEN-3751,no,
JURGEN-2113,no,
JURGEN-5846,no,
JURGEN-3701,no,
JURGEN-2741,no,
JURGEN-1254,no,
JURGEN-6370,no,
JURGEN-6297,no,
JURGEN-8347,no,
JURGEN-8561,no,
JURGEN-7037,no,
JURGEN-5079,no,
JURGEN-7918,no,
JURGEN-3847,no,
JURGEN-5741,no,
JURGEN-6347,no,
JURGEN-4862,no,
JURGEN-7700,no,
JURGEN-1087,no,
JURGEN-6406,no,
JURGEN-0069,no,
JURGEN-9353,no,
JURGEN-0695,no,
JURGEN-5688,no,
JURGEN-7917,no,
JURGEN-7264,no,
JURGEN-7621,no,
JURGEN-3278,no,
JURGEN-7123,no,
JURGEN-0678,no,
JURGEN-4957,no,
JURGEN-2580,no,
JURGEN-1879,no,
JURGEN-2966,no,
JURGEN-6378,no,
JURGEN-0658,no,
JURGEN-4930,no,
JURGEN-0126,no,
JURGEN-6901,no,
JURGEN-1710,no,
JURGEN-9854,no,
JURGEN-0560,no,
JURGEN-1658,no,
JURGEN-3160,no,
JURGEN-3905,no,
JURGEN-9821,no,
JURGEN-3017,no,
JURGEN-4078,no,
JURGEN-4252,no,
JURGEN-2206,no,
JURGEN-6988,no,
JURGEN-9940,no,
JURGEN-5849,no,
JURGEN-3805,no,
JURGEN-3743,no,
JURGEN-5489,no,
JURGEN-3414,no,
JURGEN-5813,no,
JURGEN-2375,no,
JURGEN-1465,no,
JURGEN-1288,no,
JURGEN-2851,no,
JURGEN-2544,no,
JURGEN-6369,no,
JURGEN-0265,no,
JURGEN-7228,no,
JURGEN-3464,no,
JURGEN-5724,no,
JURGEN-7594,no,
JURGEN-6495,no,
JURGEN-9679,no,
JURGEN-3507,no,
JURGEN-1180,no,
JURGEN-1644,no,
JURGEN-6943,no,
JURGEN-8368,no,
JURGEN-7937,no,
JURGEN-9189,no,
JURGEN-5395,no,
JURGEN-4268,no,
JURGEN-5165,no,
JURGEN-2374,no,
JURGEN-7368,no,
JURGEN-7387,no,
JURGEN-2743,no,
JURGEN-8168,no,
JURGEN-1786,no,
JURGEN-9287,no,
JURGEN-4157,no,
JURGEN-7545,no,
JURGEN-5059,no,
JURGEN-0167,no,
JURGEN-2899,no,
JURGEN-6572,no,
JURGEN-9816,no,
JURGEN-4085,no,
JURGEN-5011,no,
JURGEN-7188,no,
JURGEN-5634,no,
JURGEN-0738,no,
JURGEN-8241,no,
JURGEN-4098,no,
JURGEN-8696,no,
JURGEN-4212,no,
JURGEN-8765,no,
JURGEN-9962,no,
JURGEN-8970,no,
JURGEN-8543,no,
JURGEN-0263,no,
JURGEN-2077,no,
JURGEN-7756,no,
JURGEN-6266,no,
JURGEN-3133,no,
JURGEN-6194,no,
JURGEN-2974,no,
JURGEN-6058,no,
JURGEN-5663,no,
JURGEN-0322,no,
JURGEN-9716,no,
JURGEN-0561,no,
JURGEN-2537,no,
JURGEN-7833,no,
JURGEN-8410,no,
JURGEN-0082,no,
JURGEN-1776,no,
JURGEN-8232,no,
JURGEN-7153,no,
JURGEN-8903,no,
JURGEN-5690,no,
JURGEN-1016,no,
JURGEN-1207,no,
JURGEN-7243,no,
JURGEN-0142,no,
JURGEN-2256,no,
JURGEN-3533,no,
JURGEN-9104,no,
JURGEN-8353,no,
JURGEN-7633,no,
JURGEN-4329,no,
JURGEN-9176,no,
JURGEN-8335,no,
JURGEN-4931,no,
JURGEN-4810,no,
JURGEN-9659,no,
JURGEN-9078,no,
JURGEN-1037,no,
JURGEN-4744,no,
JURGEN-7459,no,
JURGEN-6274,no,
JURGEN-8995,no,
JURGEN-1853,no,
JURGEN-1462,no,
JURGEN-4126,no,
JURGEN-0040,no,
JURGEN-8195,no,
JURGEN-7343,no,
JURGEN-4622,no,
JURGEN-9514,no,
JURGEN-7060,no,
JURGEN-0900,no,
JURGEN-2755,no,
JURGEN-4059,no,
JURGEN-5590,no,
JURGEN-3246,no,
JURGEN-9283,no,
JURGEN-9819,no,
JURGEN-3563,no,
JURGEN-7760,no,
JURGEN-3174,no,
JURGEN-8924,no,
JURGEN-3034,no,
JURGEN-2416,no,
JURGEN-5283,no,
JURGEN-5904,no,
JURGEN-6906,no,
JURGEN-6671,no,
JURGEN-6736,no,
JURGEN-2954,no,
JURGEN-3116,no,
JURGEN-3079,no,
JURGEN-7689,no,
JURGEN-2582,no,
JURGEN-3501,no,
JURGEN-7412,no,
JURGEN-9063,no,
JURGEN-4043,no,
JURGEN-2594,no,
JURGEN-4437,no,
JURGEN-8654,no,
JURGEN-6820,no,
JURGEN-3854,no,
JURGEN-9916,no,
JURGEN-3351,no,
JURGEN-7148,no,
JURGEN-6451,no,
JURGEN-3648,no,
JURGEN-8172,no,
JURGEN-5928,no,
JURGEN-7674,no,
JURGEN-4076,no,
JURGEN-8619,no,
JURGEN-7747,no,
JURGEN-0386,no,
JURGEN-8909,no,
JURGEN-1338,no,
JURGEN-7059,no,
JURGEN-2476,no,
JURGEN-7786,no,
JURGEN-6428,no,
JURGEN-1773,no,
JURGEN-5587,no,
JURGEN-8253,no,
JURGEN-2424,no,
JURGEN-5072,no,
JURGEN-0829,no,
JURGEN-8179,no,
JURGEN-7828,no,
JURGEN-9543,no,
JURGEN-5735,no,
JURGEN-3681,no,
JURGEN-4301,no,
JURGEN-3851,no,
JURGEN-9179,no,
JURGEN-2970,no,
JURGEN-6864,no,
JURGEN-7539,no,
JURGEN-6667,no,
JURGEN-1050,no,
JURGEN-0652,no,
JURGEN-2518,no,
JURGEN-7627,no,
JURGEN-3178,no,
JURGEN-4639,no,
JURGEN-6243,no,
JURGEN-8210,no,
JURGEN-2654,no,
JURGEN-3020,no,
JURGEN-1040,no,
JURGEN-5016,no,
JURGEN-3536,no,
JURGEN-1201,no,
JURGEN-8387,no,
JURGEN-1414,no,
JURGEN-7161,no,
JURGEN-4421,no,
JURGEN-6989,no,
JURGEN-8257,no,
JURGEN-6000,no,
JURGEN-9065,no,
JURGEN-6733,no,
JURGEN-5112,no,
JURGEN-7129,no,
JURGEN-2123,no,
JURGEN-0809,no,
JURGEN-7294,no,
JURGEN-6694,no,
JURGEN-6433,no,
JURGEN-9995,no,
JURGEN-9779,no,
JURGEN-7431,no,
JURGEN-6443,no,
JURGEN-7640,no,
JURGEN-4911,no,
JURGEN-9856,no,
JURGEN-0813,no,
JURGEN-8564,no,
JURGEN-2780,no,
JURGEN-1484,no,
JURGEN-3610,no,
JURGEN-4887,no,
JURGEN-1725,no,
JURGEN-9712,no,
JURGEN-2106,no,
JURGEN-9062,no,
JURGEN-3513,no,
JURGEN-8575,no,
JURGEN-4180,no,
JURGEN-0988,no,
JURGEN-5111,no,
JURGEN-9055,no,
JURGEN-7871,no,
JURGEN-0888,no,
JURGEN-3229,no,
JURGEN-4363,no,
JURGEN-5612,no,
JURGEN-0791,no,
JURGEN-9611,no,
JURGEN-6828,no,
JURGEN-4949,no,
JURGEN-3584,no,
JURGEN-0272,no,
JURGEN-2543,no,
JURGEN-2872,no,
JURGEN-4466,no,
JURGEN-6627,no,
JURGEN-6913,no,
JURGEN-1205,no,
JURGEN-6538,no,
JURGEN-6835,no,
JURGEN-6022,no,
JURGEN-1421,no,
JURGEN-1395,no,
JURGEN-4294,no,
JURGEN-1279,no,
JURGEN-0909,no,
JURGEN-6192,no,
JURGEN-4798,no,
JURGEN-6315,no,
JURGEN-1516,no,
JURGEN-3234,no,
JURGEN-2803,no,
JURGEN-5732,no,
JURGEN-4548,no,
JURGEN-0581,no,
JURGEN-6160,no,
JURGEN-2098,no,
JURGEN-4245,no,
JURGEN-7476,no,
JURGEN-1934,no,
JURGEN-1210,no,
JURGEN-4464,no,
JURGEN-9564,no,
JURGEN-9732,no,
JURGEN-2356,no,
JURGEN-1854,no,
JURGEN-1788,no,
JURGEN-3546,no,
JURGEN-9764,no,
JURGEN-3885,no,
JURGEN-8558,no,
JURGEN-3084,no,
JURGEN-4881,no,
JURGEN-0696,no,
JURGEN-4462,no,
JURGEN-5574,no,
JURGEN-6775,no,
JURGEN-8526,no,
JURGEN-2300,no,
JURGEN-4594,no,
JURGEN-1550,no,
JURGEN-5906,no,
JURGEN-2332,no,
JURGEN-8085,no,
JURGEN-7797,no,
JURGEN-0708,no,
JURGEN-8224,no,
JURGEN-7502,no,
JURGEN-5592,no,
JURGEN-2296,no,
JURGEN-8191,no,
JURGEN-2313,no,
JURGEN-5662,no,
JURGEN-8147,no,
JURGEN-2632,no,
JURGEN-9485,no,
JURGEN-1437,no,
JURGEN-1300,no,
JURGEN-6782,no,
JURGEN-4984,no,
JURGEN-2383,no,
JURGEN-4981,no,
JURGEN-4682,no,
JURGEN-9097,no,
JURGEN-9997,no,
JURGEN-0574,no,
JURGEN-7283,no,
JURGEN-5108,no,
JURGEN-7317,no,
JURGEN-5832,no,
JURGEN-5030,no,
JURGEN-3266,no,
JURGEN-1448,no,
JURGEN-3543,no,
JURGEN-6628,no,
JURGEN-9459,no,
JURGEN-2105,no,
JURGEN-5687,no,
JURGEN-7177,no,
JURGEN-8709,no,
JURGEN-0939,no,
